occupants,lighting_interior,lighting_exterior,lighting_garage,lighting_exterior_holiday,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures
1,0.0867,0.559,0.559,0,0,0,0,0,0.409,0.56,0.136,0,0.0519
1,0.0867,0.559,0.559,0,0,0,0,0,0.409,0.56,0,0,0.0519
1,0.0558,0.517,0.517,0,0,0,0,0,0.323,0.504,0,0,0
1,0.0558,0.517,0.517,0,0,0,0,0,0.323,0.504,0,0,0.207
1,0.0496,0.517,0.517,0,0,0,0,0,0.323,0.499,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.323,0.499,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.319,0.494,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.319,0.494,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.461,0.461,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.503,0.503,0,0,0,0,0,0.258,0.465,0,0,0
1,0.0496,0.601,0.601,0,0,0,0,0,0.258,0.465,0,0,0.104
1,0.0496,0.601,0.601,0,0,0,0,0,0.258,0.465,0,0,0.259
1,0.149,0.657,0.657,0,0,0,0,0,0.358,0.546,0,0.305,0
1,0.249,0.657,0.657,0,0,0,0.467,0,0.457,0.626,0,0.6,0.0519
1,0.263,0.475,0.475,0,0,0,0,0.633,0.367,0.635,0,0.285,0
1,0.263,0.475,0.475,0,0,0,0,1,0.367,0.635,0,0.346,0
1,0.38,0.322,0.322,0,0,0,0,0.533,0.306,0.72,0,0.467,0.0807
1,0.491,0.322,0.322,0,0.233,0,0,0,0.322,0.806,0,0.526,0
1,0.477,0.336,0.336,0,0.267,0,0,0,0.336,0.806,0,0.388,0
1,0.477,0.336,0.336,0,0,0,0,0,0.336,0.806,0,0.319,0
1,0.459,0.35,0.35,0,0,0,0,0,0.35,0.824,0,0.649,0.0519
1,0.459,0.35,0.35,0,0,0,0,0,0.35,0.824,0,0.206,0.0519
1,0.347,0.336,0.336,0,0,0,0,0,0.316,0.749,0,0.381,0
1,0.347,0.336,0.336,0,0,0,0,0,0.316,0.749,0,0.106,0
1,0.344,0.392,0.392,0,0,0,0,0,0.358,0.749,0,0,0
1,0.344,0.392,0.392,0,0,0,0,0,0.358,0.749,0,0,0.259
1,0.348,0.433,0.433,0,0,0,0,0,0.39,0.735,0,0,0.363
1,0.348,0.433,0.433,0,0,0,0,0,0.39,0.735,0,0,0.207
0.75,0.376,0.447,0.447,0,0,0,0,0,0.4,0.763,0,0,0.0519
0.75,0.376,0.447,0.447,0,0,0,0,0,0.4,0.763,0,0,0
0.75,0.453,0.545,0.545,0.0288,0.233,0,0,0,0.473,0.791,0,0,0.104
1,0.588,0.545,0.545,0.0288,0.8,0,0,0,0.545,0.899,0,0,0.0519
1,0.779,0.741,0.741,0.346,0,0,0,0,0.741,0.974,0,0,0.519
1,0.779,0.741,0.741,0.346,0,0,0,0,0.741,0.974,0,0,0.0519
1,0.968,0.881,0.881,0.593,0,0.267,0,0,0.881,0.993,0,0,0.415
1,0.968,0.881,0.881,0.593,0,0.8,0,0,0.881,0.993,0.166,0,0
1,1,0.937,0.937,0.683,0,0,0,0,0.937,0.937,0.756,0,0.0519
1,1,0.937,0.937,0.683,0,0,0,0,0.937,0.937,0.131,0,0.156
1,0.843,0.993,0.993,1,0,0,0,0,0.993,0.88,0,0,0
1,0.843,0.993,0.993,1,0,0,0,0,0.993,0.88,0,0,0.0519
1,0.638,0.965,0.965,0.679,0,0,0,0,0.965,0.843,0,0,0
1,0.491,0.965,0.965,0.679,0,0,0,0,0.788,0.749,0,0,0.415
1,0.299,0.825,0.825,0.132,0,0,0,0,0.541,0.607,0,0,0.0519
1,0.424,0.825,0.825,0.132,0,0,0,0,0.683,0.678,0,0,0
1,0.15,0.699,0.699,0.0658,0,0,0,0,0.478,0.57,0,0,0
1,0.15,0.699,0.699,0.0658,0,0,0,0,0.478,0.57,0,0,0
1,0.0867,0.559,0.559,0,0,0,0,0,0.409,0.56,0,0,0.259
1,0.0867,0.559,0.559,0,0,0,0,0,0.409,0.56,0,0,0
1,0.0558,0.517,0.517,0,0,0,0,0,0.323,0.504,0,0,0.0519
1,0.0558,0.517,0.517,0,0,0,0,0,0.323,0.504,0,0,0.0519
1,0.0496,0.517,0.517,0,0,0,0,0,0.323,0.499,0,0,0
1,0.0496,0.517,0.517,0,0,0,0,0,0.323,0.499,0,0,0
